participantID,gender,maritalStatus,age,housing,townType,governorate,employment ,workLocation,education,beforeIncome,afterIncome,haveGarden,timeInGardenYN,whyNoTimeInGarden,aloneInGarden,familyInGarden,kidsInGarden,neighborsInGarden,friendsInGarden,afterGardenRelaxing,afterGardenExercising,afterGardenGardening,afterGardenOrchard,afterGardenOrnamentals,afterGardenLandscaping,afterGardenLivestock,afterGardenBirdPhotography,afterGardenHarvesting,visitGreenspace,whyNoVisitGreenspace,aloneGreenspace,familyGreenspace,kidsGreenspace,neighborsGreenspace,friendsGreenspace,walkingGreenspace,bicyclingGreenspace,carGreenspace,busGreenspace,taxiGreenspace,distanceGreenspace_under0.5,distanceGreenspace_0.5to1,distanceGreenspace_1to2,distanceGreenspace_over2,afterGreenspaceExercise,afterGreenspaceRelaxing,afterGreenspaceBirdPhotography,afterGreenspaceHarvesting,visitNatural,whyNoVisitNatural,aloneNatural,familyNatural,kidsNatural,neighborsNatural,friendsNatural,walkingNatural,bicyclingNatural,carNatural,busNatural,taxiNatural,distanceNatural_under0.5,distanceNatural_0.5to1,distanceNatural_1to2,distanceNatural_2to4,distanceNatural_over4,afterNaturalExercise,afterNaturalRelaxing,afterNaturalBirdPhotography,afterNaturalScenery,afterNaturalHarvesting,afterNaturalGathering,afterNaturalHistoric,afterNaturalCamping,afterNaturalLandscaping,afterNaturalCultivation,afterNaturalOrchard,afterNaturalLivestock
30,Female,Married,36 - 45,House,City,Hebron,Unemployed,Inside the West Bank,Highschool or Less,"2,001 - 4,000 NIS",Decreased,Yes,Yes,,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,Less often,About the same,Much more often,Much more often,Much more often,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Female,Married, 26 - 35,House,City,Nablus,Unemployed,,Highschool or Less,"Less than 2,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,,Before the pandemic,,,Before the pandemic,,Much more often,Less often,Much less,I don't do this activity,Yes,,,Before the pandemic,,,Before the pandemic,,,,,Before the pandemic,,,,Before the pandemic,,Less often,Less often,Less often,Much less,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
32,Female,Single,18 - 25,House,Village,Nablus,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,,After the pandemic occurred,,,,About the same,About the same,About the same,About the same,About the same,About the same,About the same,I don't do this activity,I don't do this activity,Yes,,,,,,After the pandemic occurred,After the pandemic occurred,,,,,,After the pandemic occurred,,,About the same,About the same,About the same,About the same,Yes,,,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,,,,,,After the pandemic occurred,,,,About the same,About the same,About the same,About the same,I don't do this activity,I don't do this activity,About the same,I don't do this activity,Much less,I don't do this activity,Much less,I don't do this activity
33,Female,Married, 26 - 35,House,Town,Nablus,Teacher,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,No,,,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred",,,,,,,,,After the pandemic occurred,Much more often,Much more often,Much more often,Much more often,I don't do this activity,Much more often,Much more often,Much more often,Much more often,Much more often,Much more often,Much more often
34,Female,Married,36 - 45,House,Village,Salfit,Governmental Employee,Inside the West Bank,Bachelor,"4,001 - 6,000 NIS",The same,Yes,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Less often,More often,About the same,Much more often,About the same,More often,Less often,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,After the pandemic occurred,,Before the pandemic,,,,"Before the pandemic, After the pandemic occurred",,Before the pandemic,About the same,Much less,Less often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,More often,Less often,About the same,Much less,I don't do this activity,I don't do this activity,Much less,I don't do this activity,I don't do this activity,I don't do this activity,Much less,I don't do this activity
35,Male,Single, 26 - 35,Apartment,City,Nablus,Unemployed,Inside the West Bank,Highschool or Less,"Less than 2,000 NIS",I have no income,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,,,,Before the pandemic,After the pandemic occurred,,,,Before the pandemic,Before the pandemic,After the pandemic occurred,,,Less often,Less often,Less often,Less often,Yes,,After the pandemic occurred,,,,Before the pandemic,After the pandemic occurred,,Before the pandemic,,,Before the pandemic,,After the pandemic occurred,,,Less often,Less often,Less often,Less often,Less often,Less often,Less often,Less often,Less often,,Less often,Less often
36,Female,Married,36 - 45,House,Village,Jenin,Unemployed,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,Much more often,I don't do this activity,About the same,About the same,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,I don't do this activity,Much more often,I don't do this activity,Much less,I don't do this activity,More often,I don't do this activity,I don't do this activity,More often,I don't do this activity,I don't do this activity,I don't do this activity
37,Female,Single,18 - 25,House,Town,Jenin,Unemployed,,Highschool or Less,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Female,Married,36 - 45,House,City,Nablus,Freelancer,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,I don't do this activity,Much less,I don't do this activity,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
39,Male,Single,18 - 25,Apartment,City,Nablus,Student,Inside the West Bank,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,Before the pandemic,,,,"Before the pandemic, After the pandemic occurred",Less often,Less often,Less often,I don't do this activity,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,,"Before the pandemic, After the pandemic occurred",,Before the pandemic,,,,"Before the pandemic, After the pandemic occurred",,Less often,Less often,Less often,More often,I don't do this activity,About the same,Less often,Much less,I don't do this activity,I don't do this activity,About the same,I don't do this activity
40,Female,Single,18 - 25,House,Village,Nablus,Student,Inside the West Bank,Diploma,I prefer not to answer,Decreased,Yes,No,Because of lack of privacy,,,,,,,,,,,,,,,No,Not one of my interests,,,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,Before the pandemic,,,Much more often,Much more often,Less often,About the same,Much more often,About the same,Much less,About the same,More often,More often,About the same,About the same
41,Male,Married, 26 - 35,Apartment,City,Nablus,Handyman,Inside the West Bank,Highschool or Less,"4,001 - 6,000 NIS",Dramatically increased,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,Before the pandemic,,After the pandemic occurred,I don't do this activity,Much less,Much less,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,About the same,Less often,Less often,I don't do this activity,More often,About the same,I don't do this activity,Much more often,Much more often,Much more often,I don't do this activity
42,Female,Married, 26 - 35,House,Village,Jenin,Teacher,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,More often,I don't do this activity,More often,Much more often,More often,Much more often,I don't do this activity,Much more often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,After the pandemic occurred,,,,I don't do this activity,Much more often,Much more often,Much less,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,After the pandemic occurred,,,,,About the same,Much more often,About the same,More often,I don't do this activity,I don't do this activity,Much more often,I don't do this activity,Much more often,Much more often,About the same,I don't do this activity
43,Female,Married,18 - 25,House,Refugee Camp,Nablus,Unemployed,,,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,Yes,,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,About the same,I don't do this activity
44,Male,Other,18 - 25,Apartment,Village,Ramallah,Unemployed,Inside the West Bank,Highschool or Less,I prefer not to answer,Severely decreased,No,,,,,,,,,,,,,,,,,Yes,,Before the pandemic,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,Before the pandemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Female,Single,18 - 25,House,Village,Nablus,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,About the same,More often,I don't do this activity,About the same,More often,Much more often,I don't do this activity,More often,I don't do this activity,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,After the pandemic occurred,Much more often,Much more often,Much more often,I don't do this activity,Yes,,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,After the pandemic occurred,After the pandemic occurred,About the same,About the same,Less often,Much more often,I don't do this activity,About the same,I don't do this activity,About the same,Much less,I don't do this activity,About the same,I don't do this activity
